Brand,Price (Rp),Location,Rating,Sold
Lenovo,7799000,Jakarta Utara,4.9,50
Dell,1200000,Bandung,5.0,12
Asus,7899000,Jakarta Barat,5.0,1
Asus,9899000,Jakarta Pusat,5.0,4
Asus,9699000,Jakarta Utara,0,0
Asus,8899000,Jakarta Pusat,5.0,24
Asus,9359000,Jakarta Pusat,5.0,500
Asus,8399000,Jakarta Pusat,5.0,7
Infinix,3350000,Malang,0,0
Asus,2750000,Jakarta Selatan,5.0,3
Axioo,7649000,Jakarta Selatan,5.0,50
Hp,5949000,Jakarta Pusat,5.0,5
Lenovo,1475000,Surabaya,5.0,6
Hp,2249250,Jakarta Barat,4.8,29
Lenovo,13799000,Jakarta Utara,0,0
Lenovo,8399000,Jakarta Barat,5.0,500
Lenovo,300000,Kab. Gresik,0,2
Asus,2000000,Bandung,0,0
Asus,11499000,Jakarta Pusat,5.0,8
Lenovo,3650000,Jakarta Pusat,5.0,70
Axioo,2749000,Jakarta Selatan,5.0,250
Advan,7999000,Tangerang,4.4,13
Asus,3100000,Tangerang,0,1
Asus,1250000,Jakarta Barat,4.8,70
Hp,2500000,Jakarta Barat,4.7,250
Asus,7399000,Surabaya,0,2
Lenovo,1600000,Jakarta Barat,5.0,6
Hp,1950000,Jakarta Barat,4.1,100
Asus,6500000,Depok,5.0,1
Lenovo,2850000,Jakarta Barat,5.0,16
Asus,5399000,Jakarta Utara,5.0,250
Asus,650000,Tangerang,0,1
Lenovo,7939000,Jakarta Utara,5.0,1
Lenovo,4489000,Jakarta Selatan,0,0
Zyrex,3999000,Jakarta Utara,5.0,100
Asus,50999000,Jakarta Pusat,5.0,5
Lenovo,3100000,Jakarta Barat,5.0,18
Lenovo,9499000,Jakarta Barat,5.0,3
Asus,9349000,Jakarta Selatan,5.0,1
Lenovo,5549000,Jakarta Pusat,5.0,2
Apple,11000000,Kab. Tangerang,5.0,50
Lenovo,6949000,Jakarta Selatan,4.9,30
Zyrex,2599000,Jakarta Utara,5.0,11
Asus,13000000,Surabaya,5.0,9
Samsung,9649000,Tangerang,5.0,2
Asus,850000,Malang,5.0,1
Asus,8909000,Jakarta Timur,5.0,30
Lenovo,1530000,Malang,5.0,2
Axioo,4229000,Jakarta Utara,5.0,100
Lenovo,5850000,Kab. Tangerang,4.9,250
Lenovo,11699000,Jakarta Utara,5.0,40
Lenovo,5299000,Jakarta Selatan,0,0
Axioo,4399000,Jakarta Timur,4.9,250
Asus,10899000,Jakarta Utara,5.0,24
Hp,16689000,Jakarta Utara,5.0,4
Apple,4950000,Tangerang Selatan,5.0,2
Asus,8500000,Bandung,4.3,6
Lenovo,8179000,Surabaya,4.9,50
Dell,13499000,Depok,0,0
Hp,2500000,Jakarta Pusat,5.0,70
Dell,2467500,Jakarta Pusat,4.8,28
Advan,3920000,Jakarta Pusat,4.9,750
Lenovo,4999000,Jakarta Barat,5.0,90
Toshiba,6000000,Jakarta Barat,4.8,100
Lenovo,970000,Jakarta Barat,4.8,100
Axioo,2449000,Jakarta Utara,4.9,1000
Lenovo,3000000,Jakarta Utara,5.0,90
Hp,6099000,Jakarta Pusat,5.0,100
Lenovo,8149000,Jakarta Utara,4.9,750
Lenovo,8149000,Jakarta Utara,4.8,500
Lenovo,3850000,Jakarta Barat,4.9,100
Advan,4499000,Jakarta Utara,5.0,100
Hp,11799000,Jakarta Selatan,4.9,100
Axioo,4229000,Jakarta Pusat,5.0,100
Lenovo,13447000,Jakarta Pusat,5.0,100
Asus,8039000,Jakarta Utara,5.0,500
Axioo,2449000,Jakarta Utara,5.0,500
Asus,10849000,Jakarta Utara,4.9,2000
Advan,2499000,Jakarta Pusat,5.0,100
Asus,3849000,Jakarta Utara,5.0,100
Asus,25299000,Jakarta Pusat,4.9,100
Advan,2499000,Bogor,4.9,100
Acer,5660000,Jakarta Pusat,5.0,500
Lenovo,2999999,Jakarta Barat,4.9,250
Hp,11889000,Jakarta Utara,4.9,250
Lenovo,2649999,Bandung,4.9,100
Lenovo,4379000,Jakarta Utara,5.0,100
Axioo,4199000,Jakarta Utara,5.0,500
Asus,14469000,Jakarta Selatan,5.0,100
Lenovo,5579000,Jakarta Utara,4.9,750
Hp,5699000,Jakarta Utara,5.0,100
Lenovo,5579000,Jakarta Utara,5.0,250
Hp,5891000,Jakarta Pusat,5.0,250
Asus,13099000,Jakarta Pusat,5.0,250
Axioo,7249000,Jakarta Pusat,5.0,100
Lenovo,11189000,Jakarta Pusat,5.0,100
Advan,3920000,Jakarta Pusat,5.0,100
Hp,8499000,Jakarta Pusat,5.0,250
Lenovo,5999000,Kab. Bogor,5.0,100
Asus,3779000,Jakarta Utara,5.0,500
Asus,15099000,Jakarta Utara,5.0,250
Hp,5792000,Jakarta Utara,4.9,100
Hp,4949000,Jakarta Pusat,5.0,90
Advan,2348000,Jakarta Utara,5.0,100
Lenovo,2400000,Jakarta Utara,5.0,100
Axioo,4229000,Jakarta Pusat,5.0,100
Acer,4689000,Jakarta Selatan,5.0,100
Axioo,6599000,Jakarta Selatan,5.0,100
Lenovo,4679000,Jakarta Pusat,5.0,1000
Lenovo,3499000,Jakarta Barat,4.8,100
Axioo,4216000,Jakarta Pusat,4.9,750
Asus,6849000,Jakarta Pusat,4.9,100
Asus,12299000,Jakarta Utara,5.0,250
Lenovo,9899000,Jakarta Utara,4.9,100
Axioo,2449000,Jakarta Pusat,5.0,80
Asus,5689000,Bogor,5.0,250
Lenovo,2500000,Kab. Tangerang,5.0,750
Lenovo,9649000,Jakarta Pusat,4.9,100
Lenovo,5249000,Jakarta Selatan,5.0,250
Lenovo,8999000,Jakarta Pusat,5.0,90
Lenovo,3335000,Jakarta Barat,5.0,6
Msi,5849000,Surabaya,5.0,1
Lenovo,10929000,Jakarta Pusat,5.0,100
Asus,12397000,Jakarta Utara,5.0,15
Acer,1500000,Malang,0,0
Acer,13299000,Jakarta Timur,5.0,15
Hp,1850000,Bekasi,0,1
Lenovo,3200000,Jakarta Utara,5.0,28
Acer,4689000,Jakarta Selatan,5.0,100
Hp,10299000,Jakarta Utara,4.9,30
Asus,10799000,Jakarta Utara,5.0,100
Lenovo,2100000,Kab. Bekasi,4.7,13
Asus,7500000,Bandung,5.0,1
Hp,600000,Kab. Bekasi,4.8,60
Lenovo,3699999,Jakarta Barat,4.9,250
Dell,25999000,Bandung,5.0,3
Asus,8500000,Jakarta Barat,5.0,5
Lenovo,2649999,Jakarta Barat,4.9,40
Lenovo,3990000,Jakarta Utara,4.9,100
Hp,11799000,Jakarta Selatan,4.9,100
Lenovo,16999000,Jakarta Utara,5.0,30
Lenovo,11699000,Jakarta Utara,5.0,40
Dell,3290000,Jakarta Pusat,5.0,100
Lenovo,4379000,Surabaya,5.0,40
Asus,7935000,Jakarta Pusat,4.9,500
Asus,9299000,Jakarta Pusat,0,0
Lenovo,4379000,Kab. Karawang,0,5
Hp,5399000,Jakarta Barat,5.0,100
Lenovo,4479000,Jakarta Utara,5.0,7
Advan,6825000,Jakarta Utara,5.0,100
Asus,9699000,Tangerang Selatan,0,0
Asus,6910000,Jakarta Pusat,0,1
Lenovo,6899000,Jakarta Selatan,4.8,29
Dell,110000000,Jakarta Pusat,0,0
Lenovo,8999000,Jakarta Selatan,5.0,8
Lenovo,4799000,Jakarta Utara,5.0,4
Hp,6399000,Jakarta Utara,5.0,250
Lenovo,6349000,Surabaya,5.0,30
Dell,2800000,Jakarta Pusat,5.0,100
Lenovo,6899000,Jakarta Utara,4.7,250
Axioo,8399000,Depok,5.0,6
Lenovo,2450000,Jakarta Pusat,4.8,13
Infinix,6799000,Jakarta Pusat,4.9,250
Lenovo,2749000,Jakarta Pusat,4.8,500
Lenovo,12699000,Jakarta Utara,5.0,19
Acer,5368146,Surabaya,5.0,6
Lenovo,5549000,Jakarta Utara,5.0,750
Asus,7049000,Jakarta Pusat,4.9,100
Lenovo,13654000,Tasikmalaya,0,0
Msi,10199000,Jakarta Pusat,5.0,15
Asus,12299000,Jakarta Utara,4.9,250
Axioo,3305000,Malang,5.0,1
Msi,114999000,Jakarta Pusat,0,2
Fujitsu,5190000,Batam,5.0,2
Lenovo,5549000,Jakarta Utara,5.0,250
Dell,14099000,Jakarta Pusat,5.0,250
Lenovo,17489000,Jakarta Pusat,0,2
Lenovo,3600000,Bandung,0,0
Hp,4100000,Kab. Bekasi,0,0
Asus,13399000,Jakarta Utara,5.0,100
Lenovo,8139000,Jakarta Utara,4.9,100
Asus,5399000,Jakarta Pusat,4.8,100
Asus,5899000,Jakarta Pusat,4.9,100
Asus,10879000,Makassar,0,0
Axioo,7649000,Surabaya,5.0,30
Asus,7400000,Jakarta Pusat,5.0,21
Hp,1100000,Jakarta Pusat,5.0,16
Advan,6999000,Kab. Tangerang,4.9,100
Acer,12899000,Jakarta Utara,0,0
Asus,9359000,Jakarta Pusat,5.0,100
Asus,4776000,Makassar,5.0,5
Asus,4149000,Bekasi,5.0,60
Lenovo,4299000,Jakarta Barat,4.9,100
Asus,7499000,Jakarta Utara,5.0,90
Acer,2300000,Malang,0,1
Hp,3150000,Surabaya,5.0,2
Asus,3951000,Jakarta Pusat,5.0,1000
Msi,7349000,Jakarta Barat,5.0,1
Lenovo,3250000,Medan,0,5
Acer,8135770,Jakarta Pusat,4.9,100
Axioo,4229000,Jakarta Utara,5.0,100
