Brand,Price,Location,Rating,Sold
Acer,Rp2.400.000,Jakarta Barat,4.4,13 terjual
Hp,Rp2.700.000,Tangerang,0,0 terjual
Acer,Rp600.000,Kab. Bekasi,4.5,250+ terjual
Acer,Rp2.900.000,Jakarta Pusat,0,0 terjual
Asus,Rp12.485.000,Bekasi,0,0 terjual
Axioo,Rp4.229.000,Jakarta Pusat,4.9,500+ terjual
Lenovo,Rp1.300.000,Kab. Tangerang,0,0 terjual
Dell,Rp2.500.000,Bandung,4.9,15 terjual
Lenovo,Rp3.150.000,Jakarta Barat,4.8,100+ terjual
Asus,Rp4.719.000,Malang,0,0 terjual
Asus,Rp4.749.000,Jakarta Timur,5.0,26 terjual
Axioo,Rp1.900.000,Jakarta Barat,0,0 terjual
Dell,Rp4.090.000,Jakarta Pusat,5.0,2 terjual
Zyrex,Rp2.599.000,Jakarta Utara,5.0,21 terjual
Vaio,Rp1.500.000,Jakarta Pusat,0,0 terjual
Asus,Rp7.990.000,Jakarta Pusat,5.0,3 terjual
Fujitsu,Rp4.090.000,Jakarta Pusat,5.0,9 terjual
Fujitsu,Rp1.899.999,Jakarta Barat,5.0,40+ terjual
Lenovo,Rp2.650.000,Bogor,4.9,100+ terjual
Asus,Rp2.200.000,Jakarta Pusat,5.0,1 terjual
Toshiba,Rp2.100.000,Jakarta Pusat,5.0,13 terjual
Lenovo,Rp2.350.000,Tangerang,0,3 terjual
Asus,Rp7.399.000,Jakarta Utara,4.8,40+ terjual
Hp,Rp20.497.000,Jakarta Utara,0,0 terjual
Axioo,Rp3.805.000,Malang,0,0 terjual
Msi,Rp3.300.000,Tangerang,0,0 terjual
Dell,Rp4.090.000,Jakarta Pusat,5.0,2 terjual
Asus,Rp2.550.000,Kab. Sleman,0,0 terjual
Asus,Rp4.749.000,Jakarta Timur,5.0,26 terjual
Acer,Rp1.650.000,Malang,0,0 terjual
Vaio,Rp1.550.000,Jakarta Pusat,5.0,3 terjual
Lenovo,Rp2.750.000,Depok,4.9,50+ terjual
Lenovo,Rp5.635.000,Tangerang Selatan,5.0,1 terjual
Dell,Rp1.930.000,Jakarta Barat,4.9,70+ terjual
Lenovo,Rp950.000,Jakarta Utara,4.8,1rb+ terjual
Lenovo,Rp5.799.000,Makassar,4.9,40+ terjual
Lenovo,Rp3.000.000,Yogyakarta,5.0,80+ terjual
Lenovo,Rp660.000,Jakarta Pusat,0,0 terjual
Microsoft,Rp1.430.000,Jakarta Utara,5.0,70+ terjual
Lenovo,Rp5.499.000,Jakarta Barat,4.9,100+ terjual
Asus,Rp2.438.000,Jakarta Barat,4.2,21 terjual
Acer,Rp930.000,Malang,0,3 terjual
Asus,Rp15.099.000,Jakarta Utara,5.0,250+ terjual
Asus,Rp900.000,Jakarta Pusat,0,0 terjual
Asus,Rp450.000,Jakarta Pusat,0,0 terjual
Lenovo,Rp65.000,Bekasi,5.0,1 terjual
Toshiba,Rp1.900.000,Bogor,0,2 terjual
Hp,Rp1.350.000,Jakarta Utara,0,1 terjual
Asus,Rp2.000.000,Jakarta Barat,0,0 terjual
Dell,Rp3.055.000,Surabaya,0,1 terjual
Lenovo,Rp13.750.000,Kab. Bandung,4.6,7 terjual
Xiaomi,Rp2.600.000,Surabaya,0,0 terjual
Lenovo,Rp1.050.000,Jakarta Utara,4.9,100+ terjual
Lenovo,Rp3.400.000,Jakarta Pusat,5.0,1 terjual
Advan,Rp3.979.000,Jakarta Utara,5.0,100+ terjual
Axioo,Rp5.389.000,Jakarta Selatan,5.0,500+ terjual
Axioo,Rp9.399.000,Jakarta Utara,5.0,15 terjual
Axioo,Rp4.199.000,Jakarta Selatan,4.9,250+ terjual
Asus,Rp4.139.000,Jakarta Utara,4.9,250+ terjual
Ast,Rp14.115.600,Jakarta Barat,0,0 terjual
Hp,Rp4.700.000,Jakarta Pusat,5.0,50+ terjual
Acer,Rp8.950.000,Jakarta Utara,5.0,100+ terjual
Hp,Rp3.320.000,Kab. Sleman,5.0,7 terjual
Asus,Rp5.749.000,Kab. Tangerang,5.0,100+ terjual
Asus,Rp7.399.000,Jakarta Utara,4.9,100+ terjual
Asus,Rp1.680.000,Jakarta Utara,0,0 terjual
Asus,Rp12.889.000,Jakarta Utara,5.0,750+ terjual
Asus,Rp2.300.000,Malang,0,0 terjual
Acer,Rp6.159.000,Jakarta Pusat,5.0,3 terjual
