Name,Price,Location,Rating,Sold
LAPTOP LENOVO IDEAPAD 5 X FLEX 5 2IN1 14 TOUCH RYZEN 7 8845 7730 16GB 1TB 512GB SSD W11 OFFICE 14.0FHD IPS,Rp9.899.000,Jakarta Utara,5.0,100+ terjual
"LAPTOP ASUS VIVOBOOK F1504ZA - I5 1235U 16GB 512GB SSD / 1TB SSD 15.6"" FHD WIN11 OFFICE",Rp6.999.000,Jakarta Pusat,5.0,17 terjual
Lenovo Thinkpad P15v G1 Core i7 Gen-10 RAM 32GB1TB SSD Business Edition,Rp8.999.000,Jakarta Pusat,5.0,8 terjual
Thinkpad X395 Ryzen 7 Pro 3700U 16GB 512GB VEGA 2GB / thinkpad X395 Ryzen 5 PRO 3500U / thinkpad X395,Rp3.100.000,Jakarta Pusat,4.8,100+ terjual
TECNO MEGABOOK T1 14 I5 13420H RAM 16GB SSD 512GB 14.0WUXGA 100SRGB 75WH,Rp7.999.000,Jakarta Utara,5.0,100+ terjual
"Lenovo V14 G4 IRU Core i3 1315U 8GB 256GB SSD Windows 11 14"" FHD 2YR Grey Laptop murah",Rp5.549.000,Jakarta Utara,,7 terjual
ASUS VIVOBOOK GO 14 E1404FA RYZEN 3 7320 8GB 512GB W11+OHS+M365B 14.0FHD 2Y GREEN GRY -FHD3852M,Rp5.689.000,Jakarta Utara,5.0,1rb+ terjual
Laptop Dell 2in1 Touchscreen LATITUDE 14 7440 2IN1 TOUCH I7 1365 32GB 1TB W11 14.0FHD IPS,Rp13.599.000,Jakarta Selatan,5.0,5 terjual
Laptop Asus Vivobook 14 Intel Core i5 Gen 12 RAM 32GB SSD 1TB Windows 11 Original,Rp7.400.000,Jakarta Pusat,5.0,30+ terjual
"ASUS ZENBOOK 14 OLED TOUCH CORE ULTRA 7 155H/ULTRA 5 125H 8GB 512/1TB W11 14""FHD/Q425MA/Q415MA",Rp10.899.000,Jakarta Utara,5.0,50+ terjual
ASUS EXPERTBOOK TKDN BG1408CVA I7 1355 I5 1335 16GB 8GB 512GB 14.0FHD W11 3Y - EB7150W EB5850W,Rp10.499.000,Jakarta Utara,5.0,12 terjual
!!!TERLARIS!!! LAPTOP LENOVO IDEAPAD CORE i3 ( 8GB/512GB SSD-8GB/1TB),Rp2.800.000,Jakarta Barat,4.5,100+ terjual
HP elitebook 745 G6 AMD ryzen 5 PRO| 16GB | SSD 512 | RADEON VEGA 8,Rp3.050.000,Jakarta Barat,4.9,50+ terjual
"Laptop Gaming Tipis MSI Prestige PS42, i5-8250U, 8/512Gb, GTX 1050 4Gb",Rp5.000.000,Kab. Cirebon,,
AXIOO MYBOOK HYPE 5 G12 I5 1235 RAM 16GB SSD 512GB 14.0FHD IPS BLK,Rp5.499.000,Jakarta Utara,5.0,100+ terjual
FUJITSU LIFEBOOK U9310 I7 Gen 10 16GB 512GB Laptop Second Murah Tipis,Rp4.360.000,Jakarta Pusat,4.9,30+ terjual
Promo Laptop Lenovo L13 Yoga 2 IN 1 Touschreen Core I5 Gen 11 Ram 16 Gb Ssd 256 With Stylus Pen I Bonus Melimpah,Rp3.990.000,Jakarta Pusat,5.0,70+ terjual
LAPTOP LENOVO V14 G3 I7 1255 - V14 G4 I5 13420H 16GB 512GB SSD W11+OHS 14.0FHD,Rp8.149.000,Jakarta Utara,4.8,500+ terjual
Lenovo ThinkPad T470 Core i5 Gen 6 T480 Core i5 Gen 8 RAM 8Gb SSD 256GB Laptop Murah Berkualitas Bergaransi,Rp800.000,Jakarta Barat,5.0,750+ terjual
ACER ASPIRE LITE I5 1334 1235 - I3 1215 N305 CORE 3 N355 16GB 512GB W11+OHS 14.0WUXGA IPS - AG14 AL14 AL1,Rp5.449.000,Jakarta Utara,5.0,500+ terjual
Lenovo IdeaPad Slim3i 14IAU7 Core i3-1215U 8GB 256SSD Win11 OHS,Rp6.199.000,Jakarta Pusat,5.0,1rb+ terjual
"TRLARIS ! LAPTOP Acer Aspire Core i3/ RAM 8GB /1TB/ WIN 10 /14""",Rp2.700.000,Jakarta Barat,4.1,40+ terjual
ASUS ZENBOOK 14 OLED UM3406HA TOUCH RYZEN 7 8840 16GB 512GB W11 14 INCH,Rp15.999.000,Jakarta Utara,,1 terjual
